"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3234","UI Setup: authenticate via UI","ui-setup","2026-07-04","passed","2026-07-04","","setup/ui-auth.setup.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-07-04","passed","2026-07-04","","setup/global.setup.ts","",""
"","1641","UPEX-200: should load dashboard with authenticated session","e2e","2026-07-04","passed","2026-07-04","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","171","UPEX-100: should fail without token","integration","2026-07-04","passed","2026-07-04","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","2083","API Setup: authenticate via API","api-setup","2026-07-04","passed","2026-07-04","","setup/api-auth.setup.ts","",""
"","274","UPEX-100: should get current user with valid token","integration","2026-07-04","passed","2026-07-04","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-07-04","passed","2026-07-04","","teardown/global.teardown.ts","",""
"","637","UPEX-100: should be able to re-authenticate","integration","2026-07-04","passed","2026-07-04","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","374","UPEX-200: should access user info via API with session token","e2e","2026-07-04","passed","2026-07-04","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
