"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-07-01","passed","2026-07-01","","teardown/global.teardown.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-07-01","passed","2026-07-01","","setup/global.setup.ts","",""
"","347","UPEX-200: should access user info via API with session token","e2e","2026-07-01","passed","2026-07-01","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","612","UPEX-100: should be able to re-authenticate","integration","2026-07-01","passed","2026-07-01","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","2587","UI Setup: authenticate via UI","ui-setup","2026-07-01","passed","2026-07-01","","setup/ui-auth.setup.ts","",""
"","377","UPEX-100: should get current user with valid token","integration","2026-07-01","passed","2026-07-01","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1144","UPEX-200: should load dashboard with authenticated session","e2e","2026-07-01","passed","2026-07-01","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","166","UPEX-100: should fail without token","integration","2026-07-01","passed","2026-07-01","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1903","API Setup: authenticate via API","api-setup","2026-07-01","passed","2026-07-01","","setup/api-auth.setup.ts","",""
